,Latent Variable,,,,,,
,,,,,,,
,,,,,,,
,Latent Variable,,,,,,
,,,,,,,
,Case ID,Attitude Toward Local Brand (ATLB),Consumer Ethnocentrism (CET),Gov. Buy Local Campaign Effectiveness  (PBLCE),Local Fashion Brand Love (LFBL),Perceived Price Fairness (PPF),Perceived Product Quality (PPQ)
,83,-0.638962967852476,-0.655924865202348,-1.34868335451653,-0.444320919152616,-0.242942293139739,-0.112833557623906
,84,-0.427952334378566,-0.27899221976646,-1.63490889158331,-0.397020505294927,0.709004199992589,-0.0958743621325307
,85,-0.902357887664932,1.15914971817248,-0.689089767019389,0.172053737904564,1.33171042249914,0.773114063358311
,86,-0.399550860873142,-0.123647925260916,1.04385765161119,1.02570298468087,-0.306877324813336,-0.420447851611808
,87,1.50658671659615,-2.58127356325176,1.33008318867797,1.01165455983649,-3.09806386403685,0.0603980052467102
,88,-1.72584656044528,1.15914971817248,0.427216465637786,-0.444320919152616,1.33171042249914,0.726878765273358
,89,-0.945842946601666,0.4091441346126,-0.159558316901167,1.31658814162831,0.955934622687636,0.690545784746738
,90,-0.890915453960122,-1.09654488847773,-0.445783853967943,0.172053737904564,-0.225542790651866,-0.348435481330683
,91,-0.846830782229767,-0.123647925260916,0.757632114544418,-0.379957450551109,-0.306877324813336,0.929386430737551
,92,-0.623879382421166,-0.672680386077918,0.500035270595977,1.29952508688449,-0.862599258786173,-0.420447851611808
,93,1.50658671659615,0.9050661639591,-0.445751076459536,-0.401387489343353,1.0610245783266,0.49127684156658
,94,-0.109629921924566,-1.71186744875805,-0.445783853967943,-1.01339516235211,-1.52646040525809,-0.420447851611808
,95,-1.97562378578681,-0.27899221976646,-0.445783853967943,-0.4110689301393,0.709004199992589,-0.434804762681162
,96,-0.750699484121129,-0.145108992113235,-0.504344505537547,1.57334718908811,-0.225542790651866,0.20913764743335
,97,-4.9582798374867,-1.79389723062884,-4.62848283363858,1.02570298468087,0.0451430535206738,-0.112833557623906
,98,1.50658671659615,1.22147613741504,-0.330012647486015,-0.4110689301393,1.26472613396543,-0.674207689126845
