Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Case ID;Attitude Toward Local Brand (STLB);Consumer Ethnocentrism (CET);Gov. Buy Local Campaign Effectiveness (PBLCE);Local Fashion Brand Love (LFBL);Perceived Price Fairness (PPF);Perceived Product Quality (PPQ);;;;;;;;;;;;;
236;-0,765;-0,401;-0,611;-0,987;-0,996;-0,643;;;;;;;;;;;;;
237;-0,264;-0,979;1,052;-1,765;-1,598;-0,092;;;;;;;;;;;;;
238;1,422;0,306;1,294;0,151;-0,040;-0,612;;;;;;;;;;;;;
239;-1,548;0,571;0,462;-2,877;0,314;-1,655;;;;;;;;;;;;;
240;-0,803;-0,364;-0,176;-0,926;-0,040;-1,104;;;;;;;;;;;;;
241;-0,803;-2,319;-0,419;-0,632;-1,598;0,124;;;;;;;;;;;;;
242;-0,731;0,306;0,810;0,099;-0,040;-0,085;;;;;;;;;;;;;
243;-0,525;-0,535;0,508;-0,628;-0,989;-1,380;;;;;;;;;;;;;
244;1,422;0,884;-0,374;0,176;0,562;-1,380;;;;;;;;;;;;;
245;-0,063;0,345;-0,419;1,530;0,923;0,724;;;;;;;;;;;;;
246;-1,722;-1,299;-0,419;-0,896;-0,394;0,967;;;;;;;;;;;;;
247;-0,543;1,287;-0,400;0,211;1,195;0,197;;;;;;;;;;;;;
248;-4,518;-3,385;-4,588;1,262;-1,319;-0,383;;;;;;;;;;;;;
249;1,422;0,881;-0,278;-0,386;0,555;1,209;;;;;;;;;;;;;
250;-0,813;0,002;0,432;0,176;-0,363;-1,380;;;;;;;;;;;;;
251;1,422;0,136;-1,295;0,155;-0,369;0,677;;;;;;;;;;;;;
252;-1,232;-0,364;0,156;-0,118;-0,040;-0,085;;;;;;;;;;;;;
253;-1,548;-0,191;-0,861;-0,875;-1,003;0,927;;;;;;;;;;;;;
254;-0,280;0,581;-0,419;0,099;-0,040;0,682;;;;;;;;;;;;;
255;-1,831;-0,762;-1,647;-0,628;-0,996;-2,180;;;;;;;;;;;;;
256;-0,063;-1,375;-0,176;-0,118;-0,953;-1,662;;;;;;;;;;;;;
257;-1,548;-0,867;-1,647;-1,765;-1,542;-1,662;;;;;;;;;;;;;
258;1,422;0,843;1,294;1,262;1,164;1,249;;;;;;;;;;;;;
259;-1,488;-0,535;0,175;-0,386;-1,530;-2,445;;;;;;;;;;;;;
